id,date,client_id,card_id,amount,use_chip,merchant_id,merchant_city,merchant_state,zip,mcc,errors
7475552,01-01-2010 05:48,246,1158,$34.46,Swipe Transaction,53187,Minneapolis,MN,55419,5813,
7475562,01-01-2010 05:55,11,243,$262.47,Swipe Transaction,16041,South Ozone Park,NY,11420,7802,
7475568,01-01-2010 05:57,1826,5779,$3.29,Swipe Transaction,43293,Lady Lake,FL,32159,5499,
7475574,01-01-2010 06:01,760,5876,$2.12,Swipe Transaction,75781,Columbus,OH,43228,5411,
7475580,01-01-2010 06:02,1529,4985,$3.98,Swipe Transaction,23492,Pompano Beach,FL,33076,5411,
7475589,01-01-2010 06:05,1786,1000,$8.73,Swipe Transaction,50867,Louisville,OH,44641,5541,
7475596,01-01-2010 06:07,996,1107,$1.54,Swipe Transaction,12547,Hollywood,FL,33024,5411,
7475603,01-01-2010 06:09,980,5052,$1.33,Swipe Transaction,59935,Gwynn Oak,MD,21207,5499,
7475609,01-01-2010 06:10,657,4662,$144.68,Swipe Transaction,93195,Pahrump,NV,89048,4900,
7475616,01-01-2010 06:13,679,5972,$2.99,Swipe Transaction,75703,Jackson Center,PA,16133,5812,
7475623,01-01-2010 06:16,135,2808,$-148.00,Online Transaction,90999,ONLINE,,,4722,
7475632,01-01-2010 06:17,1675,4692,$-86.00,Swipe Transaction,43293,Puyallup,WA,98373,5499,
7475638,01-01-2010 06:19,122,2034,$35.51,Swipe Transaction,13646,Orlando,FL,32810,7538,
7475644,01-01-2010 06:20,477,2450,$2.69,Swipe Transaction,20519,Howland,ME,4448,5942,
7475650,01-01-2010 06:23,628,2579,$-95.00,Swipe Transaction,59935,Narberth,PA,19072,5499,
7475659,01-01-2010 06:24,1944,1059,$100.00,Swipe Transaction,27092,Cleveland,OH,44135,4829,
7475665,01-01-2010 06:26,1640,4967,$84.00,Swipe Transaction,61195,Adrian,MI,49221,5541,
7475674,01-01-2010 06:30,1485,4736,$76.07,Swipe Transaction,69956,Longview,TX,75602,5310,
7475682,01-01-2010 06:33,278,3919,$106.82,Swipe Transaction,40538,Houston,TX,77056,5912,
7475689,01-01-2010 06:36,1719,2058,$1.79,Swipe Transaction,51755,Miami,FL,33179,5411,
7475697,01-01-2010 06:38,1274,1075,$7.08,Swipe Transaction,59935,Pascoag,RI,2859,5499,
7475705,01-01-2010 06:40,1326,5427,$3.50,Swipe Transaction,75781,Somerset,NJ,8873,5411,
7475712,01-01-2010 06:41,1898,4543,$40.40,Online Transaction,39021,ONLINE,,,4784,
7475720,01-01-2010 06:43,1791,4587,$23.44,Online Transaction,39021,ONLINE,,,4784,
7475726,01-01-2010 06:45,4,3413,$250.03,Swipe Transaction,69965,Las Vegas,NV,89109,7995,
7475732,01-01-2010 06:47,366,2934,$2.03,Swipe Transaction,43293,Oshkosh,WI,54902,5499,
7475738,01-01-2010 06:49,366,2934,$25.80,Swipe Transaction,99381,Oshkosh,WI,54901,4121,
7475744,01-01-2010 06:50,1920,5579,$103.79,Online Transaction,96529,ONLINE,,,4899,
7475752,01-01-2010 06:52,1718,2029,$10.60,Swipe Transaction,20519,Spring Valley,CA,91977,5942,
7475759,01-01-2010 06:55,822,2558,$10.64,Swipe Transaction,34488,Arcadia,CA,91007,7802,
7475766,01-01-2010 06:57,94,2890,$40.72,Swipe Transaction,59935,Claremont,NC,28610,5499,
7475773,01-01-2010 06:59,757,5458,$100.00,Swipe Transaction,27092,Brooklyn,NY,11236,4829,
7475780,01-01-2010 07:00,837,160,$8.45,Swipe Transaction,22204,Quincy,MA,2169,5541,
7475786,01-01-2010 07:02,190,4621,$2.16,Swipe Transaction,75781,Waukegan,IL,60085,5411,
7475793,01-01-2010 07:02,1786,5463,$5.37,Swipe Transaction,75781,Massillon,OH,44646,5411,
7475802,01-01-2010 07:04,1073,2547,$80.00,Swipe Transaction,27092,Shipshewana,IN,46565,4829,
7475809,01-01-2010 07:06,860,5782,$36.37,Swipe Transaction,36385,Silver Spring,MD,20901,5813,
7475815,01-01-2010 07:07,1362,0,$66.00,Swipe Transaction,59935,Bladensburg,MD,20710,5499,
7475821,01-01-2010 07:08,1305,2026,$78.90,Swipe Transaction,22204,Millington,TN,38053,5541,
7475828,01-01-2010 07:09,1094,3755,$80.00,Swipe Transaction,27092,Boyne City,MI,49712,4829,
7475834,01-01-2010 07:10,846,3886,$24.02,Swipe Transaction,5030,Red Oak,IA,51566,5411,
7475840,01-01-2010 07:11,1067,3382,$1.99,Swipe Transaction,40041,Derby,KS,67037,5411,
7475846,01-01-2010 07:12,1245,4498,$156.29,Swipe Transaction,82981,Gloucester,VA,23061,5912,
7475852,01-01-2010 07:14,46,2925,$78.14,Swipe Transaction,50867,Kew Gardens,NY,11415,5541,
7475859,01-01-2010 07:16,1595,2472,$6.77,Swipe Transaction,50783,Bronx,NY,10466,5411,
7475865,01-01-2010 07:17,1687,2509,$24.82,Online Transaction,16798,ONLINE,,,4121,
7475872,01-01-2010 07:19,1398,216,$33.66,Online Transaction,39021,ONLINE,,,4784,
7475878,01-01-2010 07:21,148,5851,$8.60,Swipe Transaction,43293,Bristol,NH,3222,5499,
7475885,01-01-2010 07:23,704,2945,$4.64,Swipe Transaction,69972,Mount Kisco,NY,10549,5814,
7475892,01-01-2010 07:25,46,2925,$73.00,Swipe Transaction,50867,Kew Gardens,NY,11415,5541,
7475900,01-01-2010 07:26,1618,3031,$11.40,Swipe Transaction,50783,Mount Vernon,NY,10552,5411,
7475909,01-01-2010 07:28,1562,2976,$1.19,Swipe Transaction,86438,Commerce,OK,74339,5499,
7475916,01-01-2010 07:32,126,5497,$10.82,Swipe Transaction,61195,Little Rock,AR,72209,5541,
7475923,01-01-2010 07:34,110,4103,$78.00,Swipe Transaction,61195,Austin,TX,78728,5541,
7475933,01-01-2010 07:36,1764,2118,$3.38,Swipe Transaction,20519,Cadillac,MI,49601,5942,
7475941,01-01-2010 07:37,1166,5822,$11.87,Swipe Transaction,59935,Louisville,KY,40203,5499,
7475951,01-01-2010 07:39,1357,4611,$6.23,Online Transaction,88998,ONLINE,,,4784,
7475957,01-01-2010 07:41,1840,3322,$1.76,Swipe Transaction,50783,Beaverton,OR,97006,5411,
7475964,01-01-2010 07:43,1028,139,$55.12,Online Transaction,96246,ONLINE,,,4784,
7475974,01-01-2010 07:46,106,1037,$4.15,Swipe Transaction,30928,Indianapolis,IN,46203,5541,
7475981,01-01-2010 07:47,291,169,$0.23,Swipe Transaction,44578,Dalton,GA,30721,5812,
7475988,01-01-2010 07:48,141,4219,$55.04,Swipe Transaction,69410,Hearne,TX,77859,5655,
7475995,01-01-2010 07:49,1352,59,$86.91,Swipe Transaction,84773,Traverse City,MI,49684,5300,
7476003,01-01-2010 07:51,1075,3287,$32.86,Online Transaction,18563,ONLINE,,,4121,
7476011,01-01-2010 07:54,62,3369,$5.14,Swipe Transaction,81833,Auburn,CA,95602,5912,
7476018,01-01-2010 07:55,1712,3291,$21.81,Online Transaction,47399,ONLINE,,,5815,
7476026,01-01-2010 08:00,115,4590,$21.99,Swipe Transaction,44919,Cottage Grove,WI,53527,5814,
7476032,01-01-2010 08:01,870,1039,$1.22,Swipe Transaction,14528,Waldorf,MD,20603,5499,
7476039,01-01-2010 08:01,1736,113,$8.21,Swipe Transaction,59952,Brooklyn,NY,11211,5812,
7476045,01-01-2010 08:03,1479,1139,$26.76,Swipe Transaction,49463,Atlanta,GA,30310,7538,
7476051,01-01-2010 08:05,447,5405,$1.59,Swipe Transaction,86438,Muskegon,MI,49441,5499,
7476058,01-01-2010 08:06,135,2808,$37.17,Online Transaction,39021,ONLINE,,,4784,
7476068,01-01-2010 08:08,576,5968,$3.36,Swipe Transaction,89263,Marietta,GA,30067,5411,
7476073,01-01-2010 08:09,37,1183,$-90.00,Swipe Transaction,59935,Kirkville,NY,13082,5499,
7476081,01-01-2010 08:11,1084,3454,$4.00,Swipe Transaction,4392,Tacoma,WA,98403,5411,
7476090,01-01-2010 08:14,1969,4981,$1.64,Swipe Transaction,88646,Bradenton,FL,34212,5812,
7476098,01-01-2010 08:16,1941,2030,$21.59,Swipe Transaction,75781,Commerce,TX,75429,5411,
7476107,01-01-2010 08:19,1786,1000,$2.69,Swipe Transaction,75781,Massillon,OH,44646,5411,
7476114,01-01-2010 08:22,370,4127,$11.77,Swipe Transaction,61195,Ontario,CA,91764,5541,
7476120,01-01-2010 08:23,13,2941,$6.95,Swipe Transaction,98374,Harned,KY,40144,5411,
7476128,01-01-2010 08:25,804,1071,$282.47,Swipe Transaction,19363,Philpot,KY,42366,4112,
7476135,01-01-2010 08:27,746,958,$2.36,Swipe Transaction,50783,Brooklyn,NY,11213,5411,
7476143,01-01-2010 08:29,1540,5562,$30.38,Swipe Transaction,44521,Fairfield,OH,45014,5310,
7476149,01-01-2010 08:32,542,4195,$91.00,Swipe Transaction,22204,Oklahoma City,OK,73114,5541,
7476157,01-01-2010 08:33,1742,1155,$6.97,Swipe Transaction,35451,Rossville,IN,46065,5812,
7476164,01-01-2010 08:35,776,5859,$6.01,Swipe Transaction,45926,Memphis,TN,38104,5814,
7476172,01-01-2010 08:36,1634,4743,$3.98,Swipe Transaction,20519,San Benito,TX,78586,5942,
7476179,01-01-2010 08:37,692,5860,$16.51,Swipe Transaction,34125,Almont,MI,48003,5813,
7476185,01-01-2010 08:39,1314,1140,$37.36,Swipe Transaction,24823,New Braunfels,TX,78130,7538,
7476192,01-01-2010 08:41,802,5432,$10.67,Swipe Transaction,87625,Roseville,CA,95661,5812,
7476200,01-01-2010 08:43,94,2890,$28.22,Online Transaction,39021,ONLINE,,,4784,
7476206,01-01-2010 08:45,135,2808,$43.46,Online Transaction,39021,ONLINE,,,4784,
7476212,01-01-2010 08:48,146,2470,$89.95,Swipe Transaction,32175,Brookfield,IL,60513,7538,
7476219,01-01-2010 08:49,1992,5476,$27.23,Swipe Transaction,24823,Portageville,MO,63873,7538,
7476227,01-01-2010 08:50,1972,5539,$3.22,Swipe Transaction,92883,Cleveland,OH,44105,5812,
7476235,01-01-2010 08:53,4,4201,$17.37,Swipe Transaction,43293,Seattle,WA,98122,5499,
7476241,01-01-2010 08:55,1449,1003,$3.01,Swipe Transaction,83229,Warner Robins,GA,31095,5411,
7476248,01-01-2010 08:57,909,4663,$44.61,Online Transaction,88998,ONLINE,,,4784,
7476257,01-01-2010 08:58,1812,2531,$62.82,Swipe Transaction,31893,North Little Rock,AR,72116,5311,
7476263,01-01-2010 08:59,1902,4286,$33.10,Online Transaction,39021,ONLINE,,,4784,
7476273,01-01-2010 09:02,1177,4164,$7.99,Swipe Transaction,61195,Newark,DE,19711,5541,
7476280,01-01-2010 09:03,692,2073,$20.29,Swipe Transaction,34125,Almont,MI,48003,5813,
7476289,01-01-2010 09:04,1437,5818,$3.16,Swipe Transaction,30896,Belfair,WA,98528,5411,
7476296,01-01-2010 09:06,165,5146,$120.00,Swipe Transaction,27092,Oakland,CA,94619,4829,
7476302,01-01-2010 09:06,1718,2029,$52.94,Online Transaction,15143,ONLINE,,,4784,
7476308,01-01-2010 09:08,361,4703,$19.40,Swipe Transaction,22204,Hawthorne,CA,90250,5541,
7476316,01-01-2010 09:09,1671,5785,$7.62,Swipe Transaction,50783,Tampa,FL,33615,5411,
7476323,01-01-2010 09:11,831,4156,$41.30,Swipe Transaction,73661,Thackerville,OK,73459,7995,
7476331,01-01-2010 09:13,351,1112,$1.72,Swipe Transaction,90329,Flushing,NY,11355,5411,
7476338,01-01-2010 09:15,39,2039,$56.73,Online Transaction,39021,ONLINE,,,4784,
7476345,01-01-2010 09:16,905,5087,$7.99,Swipe Transaction,69972,San Mateo,CA,94404,5814,
7476352,01-01-2010 09:18,480,2929,$3.21,Swipe Transaction,73250,Walnut Creek,CA,94598,5411,
7476359,01-01-2010 09:20,361,4703,$57.00,Swipe Transaction,22204,Hawthorne,CA,90250,5541,
7476367,01-01-2010 09:21,1858,2146,$2.55,Swipe Transaction,75936,Pacoima,CA,91331,5814,
7476373,01-01-2010 09:23,973,3833,$8.71,Swipe Transaction,98374,Crenshaw,MS,38621,5411,
7476379,01-01-2010 09:25,634,3375,$8.62,Swipe Transaction,8489,Independence,OH,44131,5812,
7476389,01-01-2010 09:27,849,3823,$11.88,Swipe Transaction,59397,Philadelphia,PA,19116,5812,
7476398,01-01-2010 09:29,1458,117,$5.63,Swipe Transaction,61195,New Orleans,LA,70119,5541,
7476406,01-01-2010 09:31,145,5521,$57.29,Online Transaction,73186,ONLINE,,,4814,
7476415,01-01-2010 09:34,421,4153,$2.50,Swipe Transaction,75781,Cedar Rapids,IA,52405,5411,
7476422,01-01-2010 09:35,1076,1021,$-96.00,Swipe Transaction,61195,Fayetteville,NC,28306,5541,
7476430,01-01-2010 09:36,750,3250,$100.00,Swipe Transaction,27092,Charlotte,NC,28215,4829,
7476437,01-01-2010 09:37,1302,5464,$-230.00,Swipe Transaction,58730,Glade Spring,VA,24340,7011,
7476443,01-01-2010 09:39,1516,1002,$17.24,Swipe Transaction,49239,Milpitas,CA,95035,5813,
7476451,01-01-2010 09:41,716,4715,$3.95,Swipe Transaction,59935,Banning,CA,92220,5499,
7476457,01-01-2010 09:41,1772,5918,$8.82,Swipe Transaction,12029,Rancho Cucamonga,CA,91730,5411,
7476464,01-01-2010 09:43,401,3004,$5.25,Swipe Transaction,61195,North Hollywood,CA,91605,5541,
7476470,01-01-2010 09:44,1067,3016,$13.19,Swipe Transaction,5508,Derby,KS,67037,4121,
7476476,01-01-2010 09:45,1771,5937,$77.00,Swipe Transaction,43293,Shingle Springs,CA,95682,5499,
7476483,01-01-2010 09:48,1776,4938,$-81.00,Swipe Transaction,61195,Nashport,OH,43830,5541,
7476489,01-01-2010 09:50,1305,2229,$9.07,Swipe Transaction,3668,Millington,TN,38053,5912,
7476496,01-01-2010 09:52,1771,5937,$61.69,Swipe Transaction,43293,Shingle Springs,CA,95682,5499,
7476503,01-01-2010 09:55,247,2137,$96.46,Swipe Transaction,50783,Lake Charles,LA,70605,5411,
7476511,01-01-2010 09:56,1855,5967,$11.83,Swipe Transaction,50867,San Jose,CA,95121,5541,
7476518,01-01-2010 09:58,1797,1127,$-99.00,Swipe Transaction,59935,Kailua,HI,96734,5499,
7476525,01-01-2010 09:59,1245,4498,$2.81,Swipe Transaction,50783,Gloucester,VA,23061,5411,
7476532,01-01-2010 10:01,705,5359,$58.26,Online Transaction,15143,ONLINE,,,4784,
7476542,01-01-2010 10:02,1153,2021,$84.00,Swipe Transaction,22204,Aurora,CO,80013,5541,
7476549,01-01-2010 10:03,363,5555,$8.16,Swipe Transaction,93391,Vatican City,Vatican City,,5812,
7476559,01-01-2010 10:04,1168,3239,$61.00,Swipe Transaction,61195,Berkeley Heights,NJ,7922,5541,
7476567,01-01-2010 10:07,876,5773,$25.94,Swipe Transaction,61195,Depew,NY,14043,5541,
7476575,01-01-2010 10:08,1564,5925,$2.94,Swipe Transaction,14459,Amarillo,TX,79110,5812,
7476581,01-01-2010 10:10,634,3375,$86.59,Swipe Transaction,36934,Independence,OH,44131,7538,
7476587,01-01-2010 10:11,1080,2562,$21.60,Online Transaction,9932,ONLINE,,,5311,
7476594,01-01-2010 10:12,1520,3329,$16.02,Swipe Transaction,11468,San Francisco,CA,94133,5970,
7476601,01-01-2010 10:13,1153,2021,$100.00,Swipe Transaction,22204,Aurora,CO,80013,5541,
7476610,01-01-2010 10:16,683,5990,$3.35,Swipe Transaction,81444,State College,PA,16801,5411,
7476616,01-01-2010 10:17,1060,4291,$1.47,Swipe Transaction,86438,Indianapolis,IN,46221,5499,
7476623,01-01-2010 10:18,452,4249,$8.11,Swipe Transaction,16058,Houston,TX,77096,5812,
7476630,01-01-2010 10:19,744,4571,$123.29,Online Transaction,87530,ONLINE,,,4900,
7476641,01-01-2010 10:21,676,3910,$249.96,Swipe Transaction,52923,Oklahoma City,OK,73119,3504,
7476649,01-01-2010 10:22,1763,4297,$2.52,Swipe Transaction,25887,Minneapolis,MN,55429,5814,
7476657,01-01-2010 10:26,876,5773,$-59.00,Swipe Transaction,61195,Depew,NY,14043,5541,
7476665,01-01-2010 10:28,1459,177,$80.00,Swipe Transaction,43293,Albuquerque,NM,87121,5499,
7476671,01-01-2010 10:30,699,4283,$6.22,Swipe Transaction,67390,Rowley,IA,52329,5814,
7476680,01-01-2010 10:32,1150,4672,$24.37,Swipe Transaction,19464,Hurst,TX,76054,5812,
7476687,01-01-2010 10:34,820,5040,$9.02,Swipe Transaction,59199,Barnstable,MA,2630,5814,
7476694,01-01-2010 10:35,1083,5173,$5.44,Swipe Transaction,54041,Ashland,KY,41102,5411,
7476701,01-01-2010 10:36,1495,2099,$8.57,Swipe Transaction,46284,Indianapolis,IN,46259,5411,
7476708,01-01-2010 10:37,1740,5885,$15.59,Swipe Transaction,22938,Mukwonago,WI,53149,5812,
7476714,01-01-2010 10:38,882,1079,$49.12,Swipe Transaction,71667,Mount Vernon,OH,43050,7538,
7476722,01-01-2010 10:39,1741,3025,$-88.00,Swipe Transaction,59935,Tucson,AZ,85711,5499,
7476730,01-01-2010 10:40,1942,246,$5.77,Swipe Transaction,78624,New York,NY,10003,5411,
7476736,01-01-2010 10:43,801,3366,$-218.00,Swipe Transaction,52923,Lubbock,TX,79410,3504,
7476743,01-01-2010 10:44,628,2579,$27.55,Swipe Transaction,28395,Newtown Square,PA,19073,5541,
7476749,01-01-2010 10:44,1376,2182,$43.44,Online Transaction,18563,ONLINE,,,4121,
7476755,01-01-2010 10:45,1958,3843,$1.57,Swipe Transaction,14528,Fayetteville,NC,28306,5499,
7476762,01-01-2010 10:46,1776,4938,$59.72,Online Transaction,39021,ONLINE,,,4784,
7476768,01-01-2010 10:48,1403,5976,$35.16,Swipe Transaction,75227,Beaverdam,VA,23015,4121,
7476776,01-01-2010 10:50,814,4536,$4.27,Swipe Transaction,83229,Palm Bay,FL,32907,5411,
7476786,01-01-2010 10:53,652,4293,$2.38,Swipe Transaction,63619,East Hartford,CT,6108,5812,
7476794,01-01-2010 10:55,872,4132,$3.42,Swipe Transaction,86438,Maywood,IL,60153,5499,
7476800,01-01-2010 10:56,1535,187,$20.52,Swipe Transaction,43293,Lucasville,OH,45648,5499,
7476806,01-01-2010 10:57,1204,210,$17.30,Swipe Transaction,77403,Marshfield,MA,2050,5411,
7476814,01-01-2010 10:58,1618,3031,$11.12,Swipe Transaction,78649,Mount Vernon,NY,10552,5411,
7476822,01-01-2010 11:01,556,2,$10.64,Swipe Transaction,61195,Barberton,OH,44203,5541,
7476829,01-01-2010 11:02,1817,2530,$13.74,Swipe Transaction,19558,Pearland,TX,77584,5411,
7476836,01-01-2010 11:04,1488,1098,$14.96,Swipe Transaction,38806,Eastlake,OH,44095,5812,
7476843,01-01-2010 11:05,1195,3020,$16.53,Swipe Transaction,75936,Brownstown,IN,47220,5814,
7476849,01-01-2010 11:07,1019,2602,$10.72,Swipe Transaction,62913,Baldwin Park,CA,91706,5812,
7476857,01-01-2010 11:10,81,2962,$13.48,Swipe Transaction,50783,Bulverde,TX,78163,5411,
7476864,01-01-2010 11:11,515,5487,$2.13,Swipe Transaction,91264,Longview,TX,75604,5814,
7476870,01-01-2010 11:12,1834,1119,$8.73,Swipe Transaction,20561,Lubbock,TX,79413,5912,
7476878,01-01-2010 11:14,1500,5034,$130.85,Online Transaction,726,ONLINE,,,4900,Insufficient Balance
7476885,01-01-2010 11:16,1463,5499,$1.19,Swipe Transaction,14528,Kerhonkson,NY,12446,5499,
7476892,01-01-2010 11:17,128,5048,$47.03,Swipe Transaction,25201,Houston,TX,77061,5310,
7476899,01-01-2010 11:17,1435,4294,$41.13,Online Transaction,39021,ONLINE,,,4784,
7476906,01-01-2010 11:19,321,5755,$4.00,Swipe Transaction,61195,Merrill,WI,54452,5541,
7476913,01-01-2010 11:20,924,2210,$2.90,Swipe Transaction,80135,Lapel,IN,46051,5921,
7476920,01-01-2010 11:21,1776,4938,$10.61,Swipe Transaction,79664,Nashport,OH,43830,5814,
7476926,01-01-2010 11:22,1147,2042,$37.43,Swipe Transaction,75936,Houston,TX,77053,5814,
7476933,01-01-2010 11:24,467,4278,$8.12,Swipe Transaction,58989,Chattanooga,TN,37415,5411,
7476939,01-01-2010 11:26,575,4271,$76.41,Online Transaction,4802,ONLINE,,,4899,
7476945,01-01-2010 11:27,744,4158,$6.87,Swipe Transaction,88526,Miami,FL,33196,5812,
7476955,01-01-2010 11:29,1193,4533,$10.97,Swipe Transaction,91128,Callicoon,NY,12723,5411,
7476961,01-01-2010 11:30,1666,993,$9.83,Swipe Transaction,98968,Rincon,GA,31326,5411,
7476968,01-01-2010 11:33,369,2443,$226.05,Online Transaction,75393,ONLINE,,,7996,
7476975,01-01-2010 11:33,1144,4172,$26.01,Swipe Transaction,36934,Houston,TX,77086,7538,
7476983,01-01-2010 11:34,1370,4957,$45.34,Swipe Transaction,11559,Elk Grove,CA,95624,5813,
7476989,01-01-2010 11:35,1783,10,$36.02,Swipe Transaction,61552,Oakland,CA,94606,5300,
7476998,01-01-2010 11:36,1818,4711,$85.49,Swipe Transaction,67570,Virginia Beach,VA,23455,5311,
7477006,01-01-2010 11:37,1776,4938,$32.58,Online Transaction,39021,ONLINE,,,4784,
7477013,01-01-2010 11:39,1067,3016,$8.94,Swipe Transaction,75744,Derby,KS,67037,5921,
7477021,01-01-2010 11:40,1296,3708,$21.41,Swipe Transaction,14636,Longwood,FL,32750,4121,
7477028,01-01-2010 11:41,1370,170,$11.92,Swipe Transaction,69972,Elk Grove,CA,95624,5814,
7477036,01-01-2010 11:44,1369,5792,$7.90,Swipe Transaction,75781,Edinburgh,IN,46124,5411,
7477042,01-01-2010 11:46,137,5442,$9.88,Swipe Transaction,35451,Johnson City,TN,37604,5812,
7477050,01-01-2010 11:47,1996,4212,$73.95,Swipe Transaction,26603,Alvin,TX,77511,5411,
7477058,01-01-2010 11:50,1551,2988,$25.90,Swipe Transaction,51329,Lincoln,IL,62656,5813,
7477065,01-01-2010 11:51,1279,4252,$8.65,Swipe Transaction,12936,Novi,MI,48375,5812,
7477071,01-01-2010 11:52,1861,3374,$60.75,Swipe Transaction,36934,Allen,TX,75002,7538,
7477078,01-01-2010 11:55,430,3433,$57.57,Swipe Transaction,61195,Crown Point,IN,46307,5541,
7477085,01-01-2010 11:56,1635,115,$6.46,Swipe Transaction,100169,Jamaica,NY,11434,5411,
7477093,01-01-2010 11:57,1758,3440,$5.00,Swipe Transaction,81894,Atlanta,GA,30337,5812,
7477102,01-01-2010 11:59,1256,236,$7.97,Swipe Transaction,25887,Stratford,CT,6614,5814,
7477110,01-01-2010 12:00,1385,4955,$17.14,Swipe Transaction,53187,Minneapolis,MN,55419,5813,
7477117,01-01-2010 12:01,598,32,$12.51,Swipe Transaction,25887,Franconia,NH,3580,5814,
7477124,01-01-2010 12:02,1256,236,$75.49,Swipe Transaction,36934,Stratford,CT,6614,7538,
7477130,01-01-2010 12:03,1809,2114,$2.67,Swipe Transaction,43293,Broad Run,VA,20137,5499,
7477137,01-01-2010 12:06,868,84,$72.05,Swipe Transaction,20916,Oklahoma City,OK,73110,5651,
7477145,01-01-2010 12:07,1176,5003,$12.28,Swipe Transaction,22848,Newburgh,IN,47630,5411,
7477151,01-01-2010 12:08,53,3267,$-64.00,Swipe Transaction,61195,Sutter Creek,CA,95685,5541,
7477159,01-01-2010 12:09,154,159,$3.62,Swipe Transaction,91453,Fayetteville,NC,28312,5411,
7477167,01-01-2010 12:10,1989,3800,$315.02,Online Transaction,38958,ONLINE,,,7801,
7477174,01-01-2010 12:11,1967,3367,$29.88,Swipe Transaction,60569,Newport Beach,CA,92658,5300,
7477182,01-01-2010 12:12,1752,3880,$14.26,Swipe Transaction,2309,Abbeville,LA,70510,5812,
7477189,01-01-2010 12:13,1644,3867,$4.26,Swipe Transaction,75781,Williamston,SC,29697,5411,
7477196,01-01-2010 12:14,1176,5003,$180.00,Swipe Transaction,27092,Terre Haute,IN,47803,4829,
7477204,01-01-2010 12:15,1262,3324,$1.17,Swipe Transaction,86438,Lone Tree,CO,80124,5499,
7477213,01-01-2010 12:17,127,1086,$9.74,Swipe Transaction,60855,Luverne,AL,36049,5310,
